timestamp,open,high,low,close,volume,dividends,stock_splits
2015-10-20,103.98,103.98,103.98,103.98,0.0,0.0,0
2015-10-21,104.21,104.21,104.21,104.21,0.0,0.0,0
2015-10-22,104.29,104.29,104.29,104.29,0.0,0.0,0
2015-10-23,103.96,103.96,103.96,103.96,0.0,0.0,0
2015-10-27,104.25,104.25,104.25,104.25,0.0,0.0,0
2015-10-28,103.93,103.93,103.93,103.93,0.0,0.0,0
2015-10-29,103.54,103.54,103.54,103.54,0.0,0.0,0
2015-10-30,103.66,103.66,103.66,103.66,0.0,0.0,0
2015-11-02,103.49,103.49,103.49,103.49,0.0,0.0,0
2015-11-03,103.29,103.29,103.29,103.29,0.0,0.0,0
2015-11-04,103.18,103.18,103.18,103.18,0.0,0.0,0
2015-11-05,103.12,103.12,103.12,103.12,0.0,0.0,0
2015-11-06,102.62,102.62,102.62,102.62,0.0,0.0,0
2015-11-09,102.52,102.52,102.52,102.52,0.0,0.0,0
2015-11-10,102.65,102.65,102.65,102.65,0.0,0.0,0
2015-11-11,102.55,102.55,102.55,102.55,0.0,0.0,0
2015-11-12,102.71,102.71,102.71,102.71,0.0,0.0,0
2015-11-13,102.92,102.92,102.92,102.92,0.0,0.0,0
2015-11-16,102.97,102.97,102.97,102.97,0.0,0.0,0
2015-11-17,102.97,102.97,102.97,102.97,0.0,0.0,0
2015-11-18,102.95,102.95,102.95,102.95,0.0,0.0,0
2015-11-19,103.11,103.11,103.11,103.11,0.0,0.0,0
2015-11-20,103.0,103.0,103.0,103.0,0.0,0.0,0
2015-11-23,103.07,103.07,103.07,103.07,0.0,0.0,0
2015-11-24,103.12,103.12,103.12,103.12,0.0,0.0,0
2015-11-25,103.15,103.15,103.15,103.15,0.0,0.0,0
2015-11-26,103.2,103.2,103.2,103.2,0.0,0.0,0
2015-11-27,103.2,103.2,103.2,103.2,0.0,0.0,0
2015-11-30,103.25,103.25,103.25,103.25,0.0,0.0,0
2015-12-01,103.6,103.6,103.6,103.6,0.0,0.0,0
2015-12-02,103.48,103.48,103.48,103.48,0.0,0.0,0
2015-12-03,102.8,102.8,102.8,102.8,0.0,0.0,0
2015-12-04,103.0,103.0,103.0,103.0,0.0,0.0,0
2015-12-07,103.24,103.24,103.24,103.24,0.0,0.0,0
